no,w1,w2,w3,industry,scale,q1,q1b_1,q1b_2,q1b_3,q1b_4,q1b_5,q1b_6,q1b_7,q1b_8,q1b_9,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2b,q2bb_1,q2bb_2,q2bb_3,q2bb_4,q2bb_5,q2bb_6,q2bb_7,q2bb_8,q2bb_9,q2bb_10,q3,q3a,q4,q4b_1,q4b_2,q4b_3,q4b_4,q4b_5,q4b_6,q4b_7,q4b_8,q4b_9,q4b_10,q5,q5a,q5b,q5c_1,q5c_2,q5c_3,q5c_4,q5c_5,q5c_6,q5c_7,q5c_8,q5c_9,q5d,q5e_1,q5e_2,q5e_3,q5e_4,q5e_5,q5e_6,q5e_7,q5e_8,q5e_9,q6,q6a_2,q6a_3,q6a_4,q6a_5,q6b,q6q6b,q7a,q7b,q7b_1,q7b_2,q7c,q7c_1,q7c_2,q7c_3,q8a0,q8a,q8b0,q8b,q8c0,q8c,q9,q9a2,q9a3,q10,q11,q11a1,q11b1,q11a2,q11b2,q11a3,q11b3,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q13,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q15_5,q15_6,q15_7,q16,q16a,q16b_1,q16b_2,q16b_3,q16b_4,q16b_5,q17,q17a_1,q17a_2,q17a_3,q17a_4,q17a_5,q17a_6,q17a_7,q17a_8,q17a_9,q18a,q18b,q18c,q18d,q18e,q18f,q19,q19a,q20_1,q20_2,q20_3,q21,q21a_1,q21a_2,q21a_3,q21a_4,q21a_5,q21a_6,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8,q23,q23a,q23b,q23c,q23ca,q23caa,q23cb,q24,q24a_1,q24a_2,q24a_3,q24a_4,q24a_5,q24a_6,q24a_7,q24a_8,q24a_9,q24a_10
BH10817,9,11.6258992805755,23.251798561151,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,1,0,0,0,0,0,0,2,2,0,0,0,5,7,9,168,168,0,24000,24000,0,0,2, ,2, ,2, ,1, , ,2,1,2,2500, , , , ,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BN11399,9.63928571428571,11.7421875,46.96875,14,1,2,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,4,4,0,0,0,16,20,9,214,168,46,30687,24000,6687,0,1,3,1,5,2, ,2,1, ,1,1,2,2500, , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BN15541,9.63928571428571,11.7421875,11.7421875,14,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4,5,9,186.2,168,18.2,26646,24000,2646,0,2, ,1,4,2, ,1, , ,1,1,1, , , , , ,0,1,0,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,2,2,2,2,2, ,0,0,1,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BN15561,9.63928571428571,11.7421875,11.7421875,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,1,0,1,0,0,0,0,0,1,1,0,0,0,6,7,9,168,168,0,24000,24000,0,0,2, ,2, ,2, ,4, , ,1,1,2,2100, , , , ,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,2,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BN15623,9.63928571428571,11.7421875,11.7421875,14,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,1,0,1,0,0,1,0,0,1,1,0,0,0,7,8,9,210,168,42,29628,24000,5628,0,2, ,1,3,2, ,1, , ,1,1,2,1000, , , , ,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2, ,0,0,1,2,1,0,0,1,0,0,1,0,1,1,0,0,0,0,2,1,1,3, , , ,2,1,0,1,0,0,0,0,0,0,0
BN15729,9.63928571428571,11.7421875,46.96875,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,4,4,0,0,0,12,16,9,168,168,0,24000,24000,0,0,2, ,1,2,2, ,1, , ,1,1,2,2500, , , , ,0,0,1,0,0,0,3,1,1,1,0,0,1,0,0,0,0,0,0,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,2, ,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3, , , ,2,1,0,0,0,0,0,0,0,0,0
BN25870,9.89655172413793,11.6735582154516,140.082698585419,14,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,12,1,11,0,0,40,52,9,231,168,63,35500,24000,9500,2000,1,7,1,7,2, ,1, , ,1,1,2,2100, , , , ,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,3,2,2,2, ,0,0,1,2,1,0,1,1,0,0,0,0,1,0,1,0,1,0,2,1,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BN25896,9.89655172413793,11.6735582154516,186.776931447226,14,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,16,16,0,0,0,41,57,9,168,168,0,24000,24000,0,0,2, ,1,3,2, ,1, , ,1,1,2,2500, , , , ,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,3,2,2,2, ,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BO46085,3.16666666666667,3.7583081570997,281.873111782478,15,4,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,75,0,75,0,0,333,408,9,214,168,46,31654,25214,6440,0,1,2,2, ,1,4,2,1, ,1,1,2,1000, , , , ,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,4,3,4,3,3,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,3,1,3, , , ,2,1,0,1,0,0,0,0,0,0,0
BQ11833,9.64920948616601,11.1728672225786,11.1728672225786,17,1,2,1,1,1,1,0,1,0,0,0,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,9,169,168,1,25334,25200,134,0,2, ,2, ,1,6,1, , ,1,1,1, , , , , ,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,3,3,4,4,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,3,1,3, , , ,2,1,0,1,0,0,0,0,0,1,0
BQ12022,9.64920948616601,11.1728672225786,22.3457344451572,17,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,1,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,1,0,0,0,0,1,0,0,2,1,1,0,0,5,7,9,210,168,42,30628,24000,5628,1000,1,3,1,3,1,2,1, , ,1,1,2,2500, , , , ,1,0,0,0,0,0,4,1,1,1,0,0,1,1,0,0,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2, ,0,0,1,2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,2,2,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BQ12086,9.64920948616601,11.1728672225786,22.3457344451572,17,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,2,2,0,0,0,11,13,9,204,168,36,29000,24000,5000,0,2, ,2, ,2, ,1, , ,1,1,1, , , , , ,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BQ12097,9.64920948616601,11.1728672225786,33.5186016677358,17,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,3,1,1,1,0,12,15,9,168,168,0,24000,24000,0,0,1,2,1,3,1,2,1, , ,1,1,2,1500, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2, ,0,0,1,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,2,3,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BQ12558,9.64920948616601,11.1728672225786,44.6914688903144,17,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,3,4,1,1,0,0,1,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,4,4,0,0,0,15,19,9,216,168,48,33200,24000,7200,2000,2, ,1,3,1,4,1, , ,1,1,1, , , , , ,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,3,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,2,1,2,2,2,2,2, ,0,0,1,2,1,0,1,1,0,0,0,0,1,1,1,0,0,0,2,1,1,3, , , ,2,0,0,0,0,0,1,0,0,0,0
BQ12582,9.64920948616601,11.1728672225786,44.6914688903144,17,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1, ,1,1,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0,0,0,4,2,2,0,0,16,20,9,198,168,30,30150,25800,4350,0,2, ,1,3,2, ,2,1, ,1,1,2,2500, , , , ,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,0,0,2,0,0,0,0,1,0,0,1,0,2,2,2,3,2,2,1,2,0,1,0,2,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,1,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BQ12594,9.64920948616601,11.1728672225786,44.6914688903144,17,1,2,1,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,3,2,1,0,0,0,0,1,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,4,0,0,4,0,18,22,9,309,168,141,45419,24000,19719,1700,2, ,1,5,2, ,2,1, ,1,1,1, , , , , ,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BQ12714,9.64920948616601,11.1728672225786,67.0372033354716,17,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,6,6,0,0,0,15,21,9,168,168,0,24000,24000,0,0,2, ,2, ,2, ,2,1, ,1,1,1, , , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,3,1,1,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,3, , , ,2,0,0,0,0,1,0,0,0,0,0
BQ16894,9.64920948616601,11.1728672225786,33.5186016677358,17,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,3,0,3,0,0,12,15,9,189,168,21,29964,27150,2814,0,2, ,1,5,2, ,2,1, ,1,1,1, , , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,3,3,3,2,2,2, ,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,1,1,3, , , ,2,0,0,0,0,0,0,0,0,1,0
BQ16902,9.64920948616601,11.1728672225786,44.6914688903144,17,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,4,2,2,0,0,12,16,9,208,168,40,32000,24000,8000,0,2, ,1,7,1,3,1, , ,1,1,1, , , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,3,3,5,2,2,2, ,0,0,1,2,1,1,1,0,0,0,1,1,0,1,0,0,0,0,2,1,1,3, , , ,2,0,0,1,0,0,1,0,0,0,0
BQ16962,9.64920948616601,11.1728672225786,55.864336112893,17,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,1,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,1,1,0,0,0,0,0,5,0,0,5,0,12,17,9,194,168,26,27995,24000,3995,0,2, ,2, ,2, ,1, , ,1,1,2,1500, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,1,1,1,0,0,2,0,1,1,1,0,0,0,0,1,1,1,0,0,0,2,1,1,3, , , ,1,0,0,0,0,0,0,0,0,0,0
BQ17099,9.64920948616601,11.1728672225786,78.2100705580502,17,1,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,7,7,0,0,0,20,27,9,203,168,35,32295,24000,5095,3200,1,5,1,4,2, ,1, , ,1,1,2,4816, , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,4,2,2,1,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3, , , ,2,0,0,1,0,0,0,0,0,0,0
