no,w,t1,t2,t19,country,gender,age,q1,q1a_1,q1a_2,q1a_3,q1a_4,q1a_5,q1a_6,q1a_7,q1a_8,q1a_9,q1a_10,q1a_11,q1a_12,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4,q5,q6,q6a_1,q6a_2,q6a_3,q6a_4,q6a_5,q7,q8a,q8b,q8c,q8d,q8e,q9_0_1,q9_1_1,q9_2_1,q9_3_1,q10,q10a,q11,n12,q13,q13a_1_1,q13a_1_2,q13a,n14,n14a_1_1,n14a_2_1,n14b_1_1,n14b_1_2,q15,q15a_1_1,q15a_1_2,q15b,q15c_1,q15c_2,q15c_3,q15c_4,q151,q151a,q16,q16a,q17,q17a,q18,q18a_1,q18a_2,q18a_3,q18a_4,q18b,q19,q19a,q19b_1,q19b_3,q19b_4,q20a,q20b,q20c,q20d,q20e,q20f,q20g,q21a_1,q21a_2,q21b_1,q21b_2,q21c_1,q21c_2,q21d_1,q21d_2,q21e_1,q21e_2,q21f_1,q21f_2,q21g_1,q21g_2,q21h_1,q21h_2,q22,q22a,q22b_1,q22b_2,q22b_3,q22b_4,q22b_5,q22b_6,q22b_7,q22b_8,q22c,q22d,q23,q23a,q24_1,q24_2,q24_3,q25,q25a_1,q25a_2,q25a_3,q25a_4,q25a_5,q25a_6,q25a_7,q25a_8,q26_1,q26_2,q26_3,q26_4,q26_5,q26_6,q26_7
B0110032,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4,1,0,0,0,0,0,3,2,2,3,1,1,19268,17000,2268,0,1, ,1,1,1,2,0,2,2,9,19,3,0,2,2,8,1,0,0,0,0,2,1,1,1,2, ,1,1,1,0,0,1,1, ,0,0,0,2,2,2,3,2,3,3,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,2,1,2, ,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
B0110038,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,6,1,0,0,0,0,0,3,2,2,2,1,1,19768,17000,2268,500,1, ,1,1,2, , ,0,2,10,22,2,30,3, , ,1,1,0,0,0,1, ,2, ,3, ,1,1,0,0,0,1,1, ,0,0,0,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
B0110040,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,3,2,2,2,1,1,20768,17000,2268,1500,1, ,1,1,1,1,0,1,2,7,21,6,0,2,1,11,1,0,0,0,0,1, ,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,2,2,2,2,1,2,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,2,1,0,0,0,1,1,0,0,3,4,2, ,1,0,0,2,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
B0110043,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,4,1,0,0,0,0,0,3,2,2,2,1,1,18701,17000,1701,0,1, ,1,1,2, , ,0,2,7,21,1,50,2,1,11,1,0,0,0,0,2,1,1,1,3, ,1,1,0,0,0,2,1, ,0,0,0,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,2,0,0,1,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
B0110047,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,3,2,2,1,1,1,19835,17000,2835,0,1, ,2,2,2, , ,0,2,7,24,1,50,2,1,11,1,0,0,0,0,1, ,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,3,3,2,3,2,3,3,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,2,1,1,1,1,1,0,1,0,2,1,2, ,0,0,1,2,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0
B0110048,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,1,0,1,0,0,3,2,2,2,1,1,17000,17000,0,0,1, ,2,1,1,3,0,3,2,8.5,22,1,50,1,4,12, ,0,0,0,0,2,1,1,1,1,2,1,1,0,0,0,2,1, ,0,0,0,3,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,1,0,4,2,2, ,0,0,1,2,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0
B0110053,65.533822751827,1,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,3,2,1,1,0,1,0,3,2,3,2,1,1,19268,17000,2268,0,1, ,1,1,2, , ,0,2,7,20,1,50,3, , ,1,1,0,0,0,1, ,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,2,1,2,1,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,2,1,2, ,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
B0110054,65.533822751827,1,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,4,1,0,0,0,0,0,3,2,3,1,1,1,19835,17000,2835,0,1, ,1,1,2, , ,0,2,9,20,5,0,2,1,11,1,0,0,0,0,2,1,2, ,3, ,1,1,1,0,0,2,1, ,0,0,0,2,2,2,3,2,3,2,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,0,0,2,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
B0110056,65.533822751827,1,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,3,2,3,2,1,2,19835,17000,2268,567,1, ,1,1,1,3,0,3,2,8,20,4,0,2,1,10,1,0,0,0,0,1, ,1,1,3, ,1,1,1,1,0,2,1, ,0,0,0,3,2,2,2,2,2,2,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,2,0,1,1,0,1,0,0,0,3,4,2, ,0,0,1,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
B0110060,65.533822751827,1,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,3,2,3,2,1,1,18701,17000,1701,0,1, ,1,1,1,7,0,7,2,7,20,1,50,2,1,10,1,0,0,0,0,2,1,1,1,1,2,1,1,0,0,0,2,1, ,0,0,0,2,3,3,3,2,2,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,2,1,1,1,1,1,1,0,0,3,1,2, ,0,0,1,2,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0
B0110061,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3,2,2,2,1,1,19446,17158,2288,0,1, ,1,1,2, , ,0,2,9,20,1,30,3, , ,1,1,0,1,0,2,1,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,1,1,1,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
B0110064,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,2,2,1,1,1,19835,17000,2835,0,1, ,1,1,1,2.5,0,2.5,1,6.5,20,4,0,2,2,10,1,0,0,0,0,1, ,1,1,1,3,1,1,1,1,0,1,1, ,0,0,0,4,3,4,3,2,3,3,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,1,0,1,0,1,4,2, ,1,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
B0110065,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,4,1,0,0,0,0,0,3,2,2,2,1,1,19268,17000,2268,0,1, ,2,1,1,0,30,.5,2,7.8,20,4,0,3, , ,1,0,0,0,1,1, ,2, ,2, ,1,1,1,0,0,1,1, ,0,0,0,4,2,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
B0110067,65.533822751827,1,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,3,2,3,1,1,2,19268,17000,2268,0,1, ,1,1,2, , ,0,2,7,20,1,50,3, , ,1,1,0,0,0,1, ,2, ,2, ,1,1,1,0,0,1,1, ,0,0,0,3,2,2,3,2,3,2,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0
B0110068,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,4,3,1,0,0,0,0,0,3,2,2,2,1,1,19268,17000,2268,0,1, ,2,1,2, , ,0,2,7,21,3,30,3, , ,1,0,1,0,0,1, ,1,2,1,2,1,1,0,1,0,2,1, ,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,1,2, ,0,0,1,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
B0110069,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,3,1,0,0,0,0,0,3,2,2,2,1,1,17000,17000,0,0,1, ,1,1,1,3,0,3,2,7,21,1,0,1,4,12, ,0,0,0,0,1, ,1,1,1,2,1,1,1,0,0,1,1, ,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,1,1,1,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
B0110070,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,3,2,2,2,1,1,19800,18000,1800,0,1, ,1,1,1,4,0,4,2,7,21,1,50,2,1,11,1,0,0,0,0,1, ,1,1,1,2,1,1,0,0,0,2,1, ,0,0,0,2,5,4,3,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,0,2,1,2, ,0,0,1,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
B0110071,73.3517067028594,1,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,3,2,1,0,0,0,0,3,2,1,1,1,1,20000,19000,0,1000,1, ,2,1,1,1,0,1,2,8,21,3.5,0,1,4,10, ,0,0,0,0,1, ,1,1,1,2,1,1,0,1,0,2,1, ,0,0,0,3,2,2,3,3,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,0,4,2,2, ,0,0,1,2,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0
B0110073,73.3517067028594,1,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,3,2,1,1,1,1,19835,17000,2835,0,1, ,1,1,1,2,30,2.5,1,6,19,1,50,3, , ,1,1,0,0,0,1, ,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0
B0110074,65.533822751827,1,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,1,0,0,0,0,3,2,3,1,1,2,19268,17000,2268,0,1, ,1,1,1,2,0,2,1,7,22,4,0,3, , ,1,1,0,0,0,1, ,1,1,3, ,1,1,1,1,0,2,1, ,0,0,0,2,2,2,2,2,2,2,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
B0110075,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,3,2,1,1,1,1,0,3,2,2,3,1,1,19268,17000,2268,0,1, ,1,1,2, , ,0,2,8,22,2,0,2,1,10,1,0,0,0,0,2,1,2, ,2, ,1,1,1,0,0,1,1, ,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,1,2, ,1,0,0,2,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0
B0110077,65.533822751827,1,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,3,2,3,2,1,1,18701,17000,1701,0,1, ,1,1,1,2,0,2,2,7,20,1,50,2,1,11,1,0,0,0,0,2,1,2, ,1,2,1,1,0,0,0,1,2,1,1,0,0,2,2,2,3,2,3,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,1,1,0,0,0,0,1,0,2,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B0110078,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,4,1,0,0,0,0,0,3,2,2,1,1,1,19268,17000,2268,0,1, ,1,1,2, , ,0,2,6,21,1,30,2,2,10,1,0,0,0,0,2,1,1,1,2, ,1,1,0,0,0,1,1, ,0,0,0,2,2,2,2,2,2,2,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
B0110082,65.533822751827,1,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,3,2,1,1,0,1,0,3,2,3,2,1,2,20827,19525,1302,0,1, ,2,1,2, , ,0,2,6,20,4,0,2,2,10,1,0,0,0,0,1, ,2, ,1,2,1,1,0,0,0,1,1, ,0,0,0,3,2,2,3,2,2,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,2,0,1,0,0,0,0,0,0,1,1,2, ,1,0,0,2,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0
B0110084,65.533822751827,1,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,3,2,1,0,0,0,0,3,2,3,2,1,1,19835,17000,2835,0,1, ,1,1,1,2,0,2,2,7,22,2,0,2,1,11,1,0,0,0,0,1, ,2, ,3, ,1,1,0,1,0,1,1, ,0,0,0,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,2,1,1,1,1,0,0,2,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0
B0110087,66.487258504572,1,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,3,1,0,0,0,0,0,3,2,2,2,1,1,18701,17000,1701,0,1, ,1,1,1,3,0,3,2,8,22,1,50,2,1,10,1,0,0,0,0,1, ,1,1,1,2,1,1,0,0,0,1,1, ,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
