no,w,county,q1,q1a_1,q1a_2,q1a_3,q1a_4,q1a_5,q1a_6,q1a_7,q1a_8,q1a_9,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q2a_10,q2a_11,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4,q5,q6,q6a_1,q6a_2,q6a_3,q6a_4,q6a_5,q7,q8a,q8b,q8c,q8d,q8e,q9,q9a,q10,q11,q11a_1,q11a_2,q11a_3,q12,q12a2,q12b,q12c_1,q12c_2,q12c_3,q12c_4,q121,q121a,q13,q13a_1,q13a_2,q14,q14a_1,q14a_2,q14b_1,q14b_2,q15,q15a,q16,q16a,q17,q17a_1,q17a_2,q17a_3,q17a_4,q17a_5,q17b_1,q17b_2,q17b_3,q18,q18a,q18b_1,q18b_2,q18b_3,q18b_4,q18b_5,q18b_6,q18b_7,q18b_8,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q20,q20a,q20b_1,q20b_2,q20b_3,q20b_4,q20b_5,q20b_6,q20b_7,q20b_8,q20c,q20d,q21,q21a,q22_1,q22_2,q22_3,q23,q23a_1,q23a_2,q23a_3,q23a_4,q23a_5,q23a_6,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q25,q25b,q25ba,q25baa,q25baao,q25bb
1576,49.17738088,5,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,2,1,0,1,0,0,1,2,3,2,1,1,1, ,1,19835,17000,2835,0,3, ,1,1,0,1,0,2,1,1,2,30,2,7,7.5,2,30,1,1,3, ,1,1,0,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,3,3,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,1,1,0,1,1,0,0,0,1,0,1, , , , , 
1822,50.8106561,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,2,3,2,1,1,1, ,2,20000,17000,3000,0,3, ,1,0,1,0,0,1, ,2, , ,2,7,6,3,0,2, ,2, ,1,1,0,0,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,2,2,1,3,1,0,1,1,0,0,0,0,2,1,2, ,1,0,0,2,0,1,1,1,0,0,1,1,1,0,0,0,0,1, , , , , 
2020,54.71297952,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,1,0,0,0,0,1,2,4,1,1,1,2,1,2,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,2, , ,2,8,10,1,30,1,1,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,1,3,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,1, , , , , 
2021,50.9298838,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2,2,2,1,1,4, ,1,18701,17000,1701,0,1,12, ,0,0,0,0,1, ,2, , ,2,7,8,2,40,1,1,3, ,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,1, , , , , 
2125,53.36167925,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2,4,1,1,2,1, ,1,20000,17000,3000,0,2,13,1,0,0,0,0,2,1,1,2,0,2,6,7,5,0,2, ,3, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,3,2,1,1,1,0,1,1,0,0,0,0,2,4,2, ,1,0,0,2,1,1,1,0,0,0,1,0,1,0,0,1,0,1, , , , , 
2219,50.9298838,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,2,1,0,0,0,0,0,1,2,2,1,1,1,1, ,1,20000,17000,2268,732,2,15.5,1,0,0,0,0,1, ,1,1,2,2,7,10.5,1.5,0,1,1,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,3,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
2294,52.18705664,8,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2,3,1,1,1,1, ,1,19738,19738,0,0,1,6, ,0,0,0,0,1, ,1,0,48,2,7,8,3,0,1,1,2, ,1,1,0,0,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,2,3,2,3,2,3,3,1,1,1,0,0,1,1,0,0,0,2,4,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
2335,53.52777584,11,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,1,0,0,0,0,1,2,2,1,2,1,1, ,1,21230,18630,2600,0,3, ,1,0,0,1,0,2,1,2, , ,2,8,8,1,30,1,1,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,3,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1, , , 
2432,50.90251998,6,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2,3,1,1,2,1, ,1,20768,17000,2268,1500,3, ,1,1,0,0,0,1, ,1,10,0,1,7,9,3,0,1,1,3, ,1,1,1,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,3,3,3,3,2,3,3,1,3,1,0,1,1,0,0,0,0,2,4,2, ,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, , , , , 
2434,53.35511631,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,2,1,0,0,0,0,1,2,2,2,1,1,1, ,1,20898,18630,2268,0,2,12,1,0,0,0,0,1, ,1,1,12,2,7,7,3,0,1,1,2, ,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,3,2,3,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
2558,2.095234374,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,2,2,3,1,1, ,1,26200,26200,0,0,1,10, ,0,0,0,0,1, ,1,1,20,1,8,6,1,0,1,1,3, ,1,1,0,1,1,0,1,0,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,2,0,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,2,1,1, , , 
2716,49.17738088,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,2,1,0,0,0,0,1,2,3,3,1,1,4, ,1,23000,20232,2268,500,3, ,1,1,0,0,0,1, ,2, , ,2,6,8,1.5,0,1,1,2, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1, , , , , 
2793,56.43613253,19,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,1,1,0,0,0,1,2,3,2,1,2,1, ,1,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,1,1,10,2,7,6,3,0,2, ,3, ,1,1,0,0,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,3,2,3,3,2,2,3,1,3,1,0,0,0,1,1,0,0,2,1,2, ,0,0,1,2,1,1,0,1,0,0,1,1,0,1,0,0,0,1, , , , , 
3118,53.70428152,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,0,1,0,0,0,1,2,3,1,1,1,1, ,1,19500,17000,2268,232,3, ,1,1,0,0,0,1, ,2, , ,2,7,9,2.5,0,2, ,1,1,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
3295,56.01772014,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,2,3,2,2,1,1, ,1,20268,17000,2268,1000,2,12,1,0,0,0,0,2,1,2, , ,2,8,8,3,0,1,1,3, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,1,3,1,0,0,1,1,0,0,0,2,1,2, ,0,0,1,2,1,1,0,1,0,0,1,1,1,0,0,0,0,1, , , , , 
3442,53.74892939,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,2,1,0,0,0,0,0,1,2,2,1,1,1,1, ,1,21268,17000,2268,2000,2,3,1,0,0,0,0,2,1,1,0,30,2,6,9,1.5,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,3,2,3,2,1,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
3669,52.91867064,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,3,2,1,1,0,0,0,1,2,3,3,1,1,1, ,2,19268,19268,0,0,1,22, ,0,0,0,0,1, ,1,4,0,2,8,7,4,0,2, ,3, ,1,1,1,1,1,0,1,0,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,1,0,1,0,0,1,1,1,0,0,0,0,1, , , , , 
3781,52.18705664,8,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,2,3,2,1,1,1, ,1,19268,17000,2268,0,3, ,1,1,0,1,0,2,1,2, , ,2,7,8,3,30,1,1,3, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,3,3,3,2,3,3,1,3,1,1,1,0,0,0,0,0,2,4,2, ,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
3846,53.04284481,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,0,1,2,2,3,1,1,1, ,1,19268,17000,2268,0,2,1,1,0,0,0,0,2,1,1,2,8,2,8,12,1,0,2, ,3, ,1,1,0,1,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,2,3,3,3,2,3,2,1,1,1,1,1,0,0,0,0,0,3,4,2, ,0,0,1,2,1,0,0,0,0,0,1,0,1,1,0,0,0,1, , , , , 
3883,51.02196324,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,5,1,0,0,0,0,0,1,2,2,1,1,2,1, ,1,25230,22630,2600,0,2,13,1,0,0,0,0,1, ,1,0,26,2,8,9,3,40,1,1,1,2,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,1,2,2,1,1,1,3,1,0,1,1,0,0,0,0,4,2,1,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
3989,52.28662996,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2,2,2,1,1,1, ,1,21000,17000,2268,1732,3, ,1,1,0,0,0,1, ,1,1,0,2,6,8,2.5,0,1,1,3, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
4112,38.23170722,15,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,3,2,0,1,0,0,0,1,2,3,1,1,1,1, ,1,19835,17000,2835,0,3, ,1,1,0,1,0,2,1,1,4,0,2,6,6,4,0,1,2,1,2,1,1,1,1,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,0,0,1,2,1,1,1,1,0,2,1,1,1,0,0,0,1,1,0,0,1,0,0,1, , , , , 
4181,5.474618877,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,2,2,4,1,1, ,1,24000,24000,0,0,1,8, ,0,0,0,0,1, ,1,3,0,1,8,4,2,50,1,1,2, ,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,1,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,1, , , , , 
4268,2.354963729,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,4,2,3,1,1, ,1,25800,23800,0,2000,1,12, ,0,0,0,0,1, ,1,3,30,2,8,8,3,30,1,1,2, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1, , , , , 
4306,55.06425765,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,0,1,2,3,2,1,1,1, ,1,24264,21500,2264,500,2,6,1,0,0,0,0,1, ,1,1,0,2,8,8,2,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,3,1,0,1,1,0,0,0,0,1,1,1,2,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,2,2, , , ,2
4359,53.2302111,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3,1,1,1,1, ,1,22000,17000,3000,2000,2,10,1,0,0,0,0,1, ,1,8,0,1,7,5,1,30,1,1,3, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,3,2,3,3,2,3,3,1,1,1,0,0,0,1,0,0,0,3,2,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1, , , , , 
4404,50.97532979,6,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2,3,3,2,2,1, ,2,19000,17000,0,2000,3, ,2,0,0,0,1,1, ,1,4,0,2,6.5,8,4,0,1,1,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,1,2,1,3,0,0,1,0,0,1,0,0,2,1,2, ,1,0,0,2,0,1,1,1,0,0,0,1,1,0,0,1,0,2,1,1, , , 
4464,6.221806122,11,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,3,1,4,1,1, ,1,24000,24000,0,0,1,17, ,0,0,0,0,1, ,1,3,30,2,5.5,10.5,5,0,1,1,2, ,1,1,1,0,1,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,1,1,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
4506,53.04284481,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2,2,2,1,1,1, ,1,25430,22630,2800,0,3, ,1,0,0,1,0,2,1,2, , ,1,8,7,3,10,1,1,2, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,1,1,2,2,2,1,2,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
4569,55.06425765,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,3,1,0,0,0,0,0,1,2,3,1,1,1,1, ,1,21000,17000,2268,1732,3, ,1,1,0,0,0,1, ,1,1,0,2,6.5,10,1.5,0,2, ,3, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2, , , ,2
4666,53.70428152,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,0,1,2,3,1,1,2,1, ,1,20000,18299,1701,0,2,14,1,0,0,0,0,1, ,1,2,26,2,8,10,2,45,1,1,2, ,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
4910,82.88649993,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,1,2,3,1,4,1,2,1,1,20000,17000,3000,0,3, ,1,1,0,0,0,1, ,2, , ,2,10,10,3,30,2, ,1,2,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,3,2,3,3,3,2,1,1,0,0,1,1,1,0,0,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,1, , , , , 
5006,52.91867064,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,2,1,0,1,0,0,1,2,3,2,1,1,2,1,2,20500,17000,3000,500,3, ,1,0,0,1,0,2,1,2, , ,2,6,8,2,0,1,2,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1, , , , , 
5193,49.776931,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,2,1,0,0,0,0,1,2,2,3,2,1,1, ,1,23898,20130,2268,1500,2,19.5,1,0,0,0,0,1, ,1,2,40,2,7,8,2,50,1,1,1,2,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,3,1,3,1,1,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,1, , , , , 
5467,49.776931,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,1,0,0,0,0,0,1,2,2,2,2,1,1, ,1,18701,17000,1701,0,2,10,1,0,0,0,0,2,1,1,1,0,2,7,9,2,0,1,1,3, ,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,3,3,3,2,2,2,1,1,0,0,0,0,0,1,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
