no,w1,w2,w3,industry,scale,q1,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q2a_10,q3,aq3,aq3a,q3b,q3c_1,q3c_2,q3c_3,q3c_4,q3c_5,q3c_6,q3c_7,q3c_8,q3e_1,q3e_2,q3e_3,q3e_4,q3e_5,q3e_6,q3e_7,q3e_8,q4,q4a_1,q4a_2,q4a_3,q4a_4,q4a_5,q4a_6,q4a_7,q4a_8,q4a_9,q4b,q4bb_1,q4bb_2,q4bb_3,q4bb_4,q4bb_5,q4bb_6,q4bb_7,q4bb_8,q4bb_9,q4bb_10,q5,q5b_1,q5b_2,q5b_3,q5b_4,q5b_5,q5b_6,q5b_7,q5b_8,q5b_9,q5b_10,q5b_11,nq6b,nq6c_1,nq6c_2,nq6c_3,nq6c_4,q7a,q7b,q7bb,q7ca,q7cb,nq7d,nq7db,nq7dc,q8,q8a2,q8a3,q9,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q14,q14a,q14b_1,q14b_2,q14b_3,q14b_4,q14b_5,q15a_1,q15a_2,q15a_3,q15a_4,q15a_5,q15a_6,q16,q16a,q17,q17a_1,q17a_2,q18,q18a_1,q18a_2,q18a_3,q18a_4,q18a_5,q19_1,q19_2,q19_3,q19_4,q19_5,q19_6,q19_7,q19_8,q19_9
221,9.75423728813559,9.51905487804878,38.0762195121951,21,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,11,152,0,27470,0,0,0,0,2,1, ,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,4,4,4,4,4,4,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
254,10.2540983606557,10.5416293643688,231.915846016114,21,2,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,1,0,0,22,1,21,0,0,11,152,0,27470,0,2000,6000,0,2,1, ,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,1,1,0,0,4,4,4,3,4,4,1,1,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
359,10.625,9.76969696969697,29.3090909090909,24,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,1,0,3,0,2,1,0,11,152,0,27470,0,2000,10000,0,3, ,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,2,1,1,1,1,0,5,5,5,5,5,5,2, ,2,0,0, ,0,0,0,0,0,1,1,0,0,0,0,0,0,0
405,9.75423728813559,9.51905487804878,19.0381097560976,21,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,11,152,46,27470,7000,0,10000,0,1, , ,1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,3,1,1,1,1,0,5,5,5,5,5,5,1,1,1,1,0,2,1,0,0,0,0,0,0,1,1,1,1,1,0,0
453,9.40344827586207,9.19021739130435,27.570652173913,14,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,11,152,0,27470,0,0,3000,0,1, , ,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,4,4,4,3,4,4,2, ,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
483,7.88888888888889,6.83333333333333,102.5,25,3,3,1,1,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,11,152,34,27977,6554,0,2500,0,2,1, ,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,1,1,1,0,5,5,5,5,5,5,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,0,1,0,0
507,1.33333333333333,1.65656565656566,54.6666666666668,11,5,3,1,1,1,0,0,0,0,1,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,11,152,40,31023,7500,2718,18717,0,2,1, ,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,4,4,4,3,4,4,1,1,1,1,1,2,1,1,1,0,0,0,0,1,1,1,1,0,0,0
553,1.33333333333333,1.1625,36.0375,5,3,2,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,31,0,0,31,0,11,152,19,35000,2907,0,3200,0,2,1, ,1,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,3,3,4,1,1,1,1,1,2,1,0,1,0,0,0,0,1,1,1,1,1,0,0
587,8.2,7.20754716981132,43.2452830188679,4,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,6,2,4,0,0,11,152,42,28000,7600,0,10000,0,3, ,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,4,4,3,3,4,4,1,1,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
603,9.8909626719057,9.74668275030157,38.9867310012063,17,1,2,1,1,0,1,0,1,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,11,152,12,27470,1992,0,20000,0,2,1, ,1,0,1,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,1,3,1,1,1,0,0,4,4,4,3,4,4,1,2,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
633,10.020618556701,10.3803786574871,62.2822719449226,1,1,2,1,1,0,1,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,0,1,1,0,6,0,6,0,0,11,152,19,27710,3000,6000,1500,0,2,1, ,1,0,0,1,0,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,1,1,1,1,1,0,4,4,4,3,4,4,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
683,9.75423728813559,9.51905487804878,9.51905487804878,21,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,11,152,0,27470,0,0,6200,0,2,1, ,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,3,1,1,1,1,0,4,3,3,4,4,4,1,1,1,1,0,2,1,1,0,1,0,0,1,0,1,1,1,0,0,0
691,9.75423728813559,9.51905487804878,9.51905487804878,21,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,152,0,27470,0, , , ,2,1, ,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,2,1,1,1,1,0,4,4,3,4,4,4,1,2,2,0,0, ,0,0,0,0,0,1,1,1,1,1,0,0,0,0
696,2.5,2.86573311367381,584.609555189457,16,5,4,1,1,0,1,1,0,0,1,0,0,0,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,204,0,0,204,0,11,152,48,27480,8652,0,2000,0,2,1, ,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,3,4,4,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0
711,9.8909626719057,9.74668275030157,29.2400482509047,17,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,11,152,0,27470,0,0,16000,0,1, , ,1,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2, ,0,0,0,0,0,4,4,4,4,4,4,1,1,2,0,0, ,0,0,0,0,0,0,1,0,1,0,0,0,0,0
719,9.8909626719057,9.74668275030157,38.9867310012063,17,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,11,152,0,28000,0,0,0,0,1, , ,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,2, ,0,0,0,0,0,4,4,4,3,3,3,1,1,1,1,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0
747,10.0754716981132,11.1240310077519,44.4961240310076,20,1,2,1,1,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,10,160,0,27470,0,0,41470,0,2,1, ,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,2,1,1,0,0,0,3,3,3,3,4,4,1,2,1,1,0,2,1,0,0,0,0,0,1,0,1,1,0,1,0,0
781,8.05,9.92003439380911,704.322441960447,17,4,3,1,1,0,0,0,0,1,1,0,0,0,1,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,71,0,71,0,0,11,152,37,28732,5888,7149,35020,6058,2,1, ,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,3,4,4,1,1,1,1,0,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0
862,10.5806451612903,9.47680412371134,75.8144329896907,22,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0,11,152,0,27470,0,0,4000,0,2,1, ,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,4,4,4,3,4,4,2, ,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
954,14.8888888888889,16.0036496350365,560.127737226277,14,3,2,1,1,0,0,0,1,0,1,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,11,152,40,35000,8000,14000,70000,0,1, , ,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,2,1,1,1,1,0,4,4,4,4,4,4,1,2,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
980,1.44444444444444,2.15756172839506,770.249537037036,26,5,1,1,1,0,1,0,0,0,0,0,0,0,2, , , ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,0,1,0,1,1,0,357,0,0,357,0,11,152,40,27470,7000,0,0,0,2,1, ,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,3,2,2,2,3,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
982,9.4622641509434,9.71787709497207,97.1787709497207,3,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,10,10,0,0,0,11,152,38,27470,5814,0,0,0,1, , ,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,0,1,0,4,4,4,3,3,4,1,2,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1
1055,9.40344827586207,9.19021739130435,36.7608695652174,14,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,11,152,0,27470,0,0,0,0,1, , ,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,2,1,1,1,0,0,5,5,5,5,5,5,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
1078,9.40677966101695,9.15286624203822,9.15286624203822,8,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11,152,6,29035,992,0,14600,0,2,1, ,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,4,4,4,4,4,4,1,1,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1091,9.8909626719057,9.74668275030157,19.4933655006031,17,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,11,152,0,27470,0,24000,29470,0,2,1, ,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,4,4,4,4,4,4,2, ,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1095,10.2540983606557,10.5416293643688,94.8746642793192,21,2,2,1,1,0,0,1,1,0,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,11,152,10,27470,1720,2000,30000,0,2,1, ,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,4,4,4,1,1,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1143,2,2.10536398467433,166.323754789272,7,4,1,1,0,0,1,0,0,0,1,0,0,0,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,79,0,15,64,0,11,152,46,27470,7800,1500,3000,0,2,1, ,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,2,1,1,0,0,0,4,4,4,2,4,4,1,1,2,0,0, ,0,0,0,0,0,1,1,1,1,1,0,1,0,0
1151,9.40344827586207,9.19021739130435,36.7608695652174,14,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,11,152,54,32160,9327,0,12000,0,1, , ,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,3,4,3,3,3,3,1,2,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,1,0,0
1164,9.90163934426229,10.5542857142857,52.7714285714285,25,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2, , ,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,11,152,19,27470,2928, , , ,1, , ,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,5,5,5,4,5,5,1,2,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1
1213,8.79393939393939,8.79549950544016,167.114490603363,17,2,2,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,3,16,0,11,152,24,35000,4800,24000,50000,0,2,1, ,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,2,1,1,1,1,0,4,4,4,4,4,4,1,2,1,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1230,2.4,1.62177650429799,141.094555873925,4,4,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87,31,0,56,0,11,152,25,27470,4025,0,3500,0,2,1, ,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3,1,1,1,1,0,4,4,4,4,4,4,1,2,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1
