no,w,j1,j2,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q2,q3,q4,q4a_1,q4a_2,q4a_3,q4a_4,q5,q5a_1,q5a_2,q5a_3,q5a_4,q5a_5,q5a_6,q5a_7,q5a_8,q5a_9,q6,q6a_1,q6a_2,q6a_3,q6a_4,q6a_5,q6a_6,q6a_7,q6a_8,q6a_9,q6a_10,q6a_11,q7,q8a,q8b,q8c,q8d,q8e,nq9a_1,nq9a_2,nq9b_1,nq9b_2,nq10a,nq10ab,q10b,nq10bb,q11,q11a2,q11a3,q12,q13a,q13ab,nq13b,q14,q15,nq15a,nq15b,q16,q16a,q17,q18,q18a,q18b_1,q18b_2,q18b_3,q18b_4,q18b_5,q18b_6,q18b_7,q18b_8,q19,q19a,q20_1,q20_2,q20_3,q20_4,q20_5,q20_6,q20_7,q21,q21a,q21b_1,q21b_2,q21b_3,q21b_4,q21b_5,q21b_6,q21b_7,q21b_8,q21c,q21d,q22,q22a,q23,q23a_1,q23a_2,q24,q24a_1,q24a_2,q24a_3,q24a_4,q24a_5,q25_1,q25_2,q25_3,q25_4,q25_5,q25_6,q25_7,q25_8
3377,52.084388185654,2,1,1,0,0,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,2,4,1,1,2,7,10,4,30,18000,2835,2,6000,1, , ,1,5,1, ,1,1,5,0,1,1,2,1, , , , , , , , , ,2, ,4,4,4,4,4,4,4,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1
4016,3.22222222222222,14,1,1,1,1,1,1,0,4,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,1,6,5.5,1,30,20000,2668,2,1000,1, , ,1,1, ,4,1,1,1,30,1,1,2,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
4126,59.025641025641,4,1,1,1,1,0,0,0,2,6,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,1,6,10,4,0,20000,2668,2,1500,1, , ,1,2,1,12,1,1,1,42,1,1,1,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
4207,51.4490566037736,6,1,1,1,1,1,0,0,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,2,6,7,3,0,20000,3335,2,3600,1, , ,1,5,1, ,1,2, , ,1,1,1,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
4559,53.032,3,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,6,7,3,0,20332,2668,2,2000,1, , ,1,2,1,24,1,1,0,48,1,1,1,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
4801,49.375,5,1,1,1,1,1,1,0,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,1,8,10,2,0,21500,3335,2,8000,1, , ,1,2,1,4,1,1,1,0,1,1,1,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,1,0,0,1,1,0,0,1,0,1,1,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,0,0,0,0
5718,53.032,3,1,1,1,1,1,0,0,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,1,2,7,8,3,30,20000,2668,2,2000,1, , ,1,2,1,8,1,1,3,30,1,1,2,1, , , , , , , , , ,1,2,1,1,1,2,1,2,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0
5802,2.25,4,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,7,10,4,0,20000,0,2,12500,1, , ,1,1, ,12,1,1,1,43,1,1,3,1, , , , , , , , , ,1,2,3,2,2,2,2,2,2,1,1,0,0,1,1,0,0,0,0,1,1,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
5850,53.032,3,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,7,7,3,0,20000,2668,2,12000,1, , ,1,2,1,24,1,1,2,30,1,1,3,1, , , , , , , , , ,1,2,1,1,2,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0
6103,52.4868421052632,7,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,6.5,9,4,0,20000,3335,2,8000,1, , ,1,5,1, ,2,2, , ,1,1,1,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
6574,53.032,3,1,1,1,1,1,0,0,2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,1,8,7,3,0,24665,3335,2,4000,1, , ,2,5,1, ,1,1,1,0,1,1,2,1, , , , , , , , , ,2, ,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1
6582,52.4868421052632,7,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,6.5,7.5,1,30,20000,3335,1, ,2,1, ,1,5,1, ,1,1,1,30,1,1,2,1, , , , , , , , , ,2, ,3,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
6965,3.83333333333333,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,3,1,6,8,3,30,26400,0,2,6000,1, , ,1,1, ,12,1,1,2,0,1,1,2,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1
7096,52.3703703703704,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,2,2,1,1,1,7,8,3,0,21000,2000,2,1000,1, , ,1,3,1,24,1,1,1,0,1,1,1,1, , , , , , , , , ,1,2,2,3,2,3,3,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1
7147,51.9903846153846,4,1,1,1,1,1,1,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,7,8,3,0,22000,3335,2,20000,1, , ,1,5,1, ,1,1,2,0,1,1,2,1, , , , , , , , , ,1,2,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,2,0,0, ,0,0,0,0,0,1,1,0,0,0,0,0,0
7189,54.3766233766234,13,1,1,1,1,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,2,3,2,1,1,6.5,8.5,4,30,20000,2668,2,4000,1, , ,1,2,1,12,1,1,1,18,1,1,1,1, , , , , , , , , ,2, ,3,2,2,2,2,3,2,1,1,0,0,1,1,0,1,0,0,3,4,2, ,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
7424,51.1052631578947,9,1,1,1,1,1,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6.5,7.5,4,30,20000,2668,2,15000,1, , ,1,2,1,12,1,1,4,30,1,1,2,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1
7494,52.084388185654,2,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,8,1,0,22000,3335,2,6000,1, , ,1,5,1, ,1,2, , ,1,1,1,1, , , , , , , , , ,1,2,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
7603,50.5268817204301,2,1,1,1,1,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,7.5,9.5,3,0,20000,2001,2,3000,1, , ,1,3,1,12,1,1,0,48,1,1,1,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
7783,52.3703703703704,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,1,2,2,2,1,2,7.5,10,3,0,24500,3500,2,6000,1, , ,2,5,1, ,1,1,6,30,2, ,3,1, , , , , , , , , ,2, ,2,3,3,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
8014,52.084388185654,2,1,1,1,1,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,9,4,30,20000,0,2,20000,1, , ,2,1, ,10,1,1,1,20,1,1,2,1, , , , , , , , , ,1,2,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0
8547,52.084388185654,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,8,10,3,0,20000,3335,2,20000,1, , ,2,5,1, ,1,2, , ,1,1,2,1, , , , , , , , , ,1,2,2,2,2,3,2,2,3,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
8604,49.375,5,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,8,9,4,0,22742,2668,2,6667,1, , ,2,2,1,24,1,1,1,18,1,1,2,1, , , , , , , , , ,2, ,3,3,3,3,3,3,3,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
8988,49.375,5,1,1,1,1,1,1,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,1,7,10,3,0,20000,3335,2,3000,1, , ,1,5,1, ,1,2, , ,1,1,2,1, , , , , , , , , ,1,2,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,1,1,2,1,1,0,0,0,1,1,1,1,1,1,0,0
9382,50.5714285714286,11,1,1,1,1,0,1,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,7,7,4,0,25000,3335,2,10000,1, , ,3,2,1,12,1,1,1,0,2, ,3,1, , , , , , , , , ,1,2,1,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,2,0,0, ,0,0,0,0,0,1,1,0,0,0,0,0,0
9462,44.1714285714286,3,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,6,6,4,0,21000,0,2,25400,1, , ,2,1, ,24,1,1,3,30,1,1,1,1, , , , , , , , , ,2, ,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
9494,50.5268817204301,2,1,1,1,1,0,0,0,2,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,1,7,12,1,30,22000,2850,2,0,1, , ,1,2,1,24,1,1,0,48,1,5,1,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,1,3,1,1,1,0,0,0,0,0,1,1,2, ,3,0,0, ,0,0,0,0,0,1,0,0,0,0,0,0,0
9913,52.084388185654,2,1,1,1,1,1,0,0,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,8,8,4,0,21000,2668,2,25000,3, ,1,1,2,1,12,1,1,5,0,1,1,3,2,1,1, , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,2,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
10052,54.3766233766234,13,1,1,1,1,1,1,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,7.5,7.5,1,10,25000,3335,2,40000,1, , ,3,5,1, ,1,1,2,0,1,2,1,1, , , , , , , , , ,1,2,2,2,2,1,1,2,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
10072,42.3333333333333,19,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,7,9,3,0,20000,2668,2,4669,1, , ,1,2,1,12,1,1,3,0,1,1,1,1, , , , , , , , , ,2, ,2,2,2,3,2,3,2,1,1,1,0,1,0,0,0,0,0,1,4,1,3,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
10110,51.4490566037736,6,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,9,8,2,30,21800,3335,2,2000,1, , ,1,5,1, ,1,2, , ,1,1,2,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,1,2,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
10190,3.375,17,1,1,1,1,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,2,2,9,6,2,0,21443,3335,2,6000,1, , ,1,3,1,12,1,1,4,0,2, ,3,1, , , , , , , , , ,1,2,3,3,3,3,3,3,3,1,3,1,1,0,0,0,0,1,0,1,4,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
10558,53.032,3,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,1,8,9,3,30,24000,2001,2,10000,1, , ,1,2,1,8,1,1,0,30,1,1,2,1, , , , , , , , , ,1,2,2,2,2,2,1,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,1,1,0,0,1,1,1,1,1,1,0,0
10875,51.9903846153846,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,8,8,3,0,20000,3335,2,8000,1, , ,1,5,1, ,1,1,1,30,1,2,1,1, , , , , , , , , ,2, ,3,3,3,3,3,3,3,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
11328,52.3703703703704,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,2,8,7,3,0,23300,2700,2,16000,1, , ,1,5,1, ,1,1,3,0,1,1,1,1, , , , , , , , , ,2, ,2,2,2,1,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,0,0,0
11344,4.72727272727273,21,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,8,8,2,0,20000,3335,2,2000,1, , ,1,5,1, ,1,1,1,0,1,1,2,1, , , , , , , , , ,2, ,3,3,2,2,2,3,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,1
11449,51.9903846153846,4,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,7,10,4,0,24000,3335,1, ,1, , ,2,5,1, ,1,1,0,30,1,2,1,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
11600,50.6818181818182,12,1,0,0,0,1,0,0,2,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,2,8,10,2,30,20000,2668,2,10000,1, , ,1,5,1, ,1,1,0,30,1,1,3,1, , , , , , , , , ,1,2,2,2,1,2,1,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,2,0,0, ,0,0,0,0,0,0,1,1,1,1,1,0,0
11731,41.4782608695652,4,1,1,1,1,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,4,1,6,7,4,0,24000,2668,2,5000,1, , ,1,2,1,12,1,1,1,54,1,1,1,1, , , , , , , , , ,2, ,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,2,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
12042,50.6818181818182,12,1,1,1,1,1,1,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,6.5,8.5,1,30,20000,2668,2,800,1, , ,1,3,1,12,1,1,0,30,1,1,3,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,3,1,0,1,0,1,0,0,0,2,2,2, ,3,0,0, ,0,0,0,0,0,1,1,1,0,0,0,0,0
12057,52.3703703703704,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,1,6,8,3,30,20000,0,2,2000,2,1, ,2,1, ,24,2,1,1,30,1,1,2,1, , , , , , , , , ,1,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,1,0,0,2,4,2, ,3,0,0, ,0,0,0,0,0,1,1,1,1,1,1,0,0
12072,36.3333333333333,12,1,1,0,0,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,6,8,3,0,20000,3335,2,0,1, , ,2,5,1, ,1,1,2,0,1,4,3,1, , , , , , , , , ,1,2,2,2,3,1,2,2,2,1,1,1,0,0,0,1,1,0,0,1,1,2, ,3,0,0, ,0,0,0,0,0,0,0,1,0,0,0,0,0
